fórmula,massa molar calculada pelo pymatgen,número de elementos calculado pelo pymatgen,eletronegatividade média calculada pelo pymatgen,desvio de eletronegatividade calculado pelo pymatgen,raio atômico médio calculado pelo pymatgen
Fe0.75La0.25,76.6101175,2,1.465,0.365,1.6749999999999998
Fe0.74La0.26,77.44072220000001,2,1.465,0.365,1.6749999999999998
Fe0.73La0.27,78.2713269,2,1.465,0.365,1.6749999999999998
Fe0.72La0.28,79.1019316,2,1.465,0.365,1.6749999999999998
Fe0.71La0.29,79.9325363,2,1.465,0.365,1.6749999999999998
Fe0.70La0.30,80.76314099999999,2,1.465,0.365,1.6749999999999998
Fe0.69La0.31,81.5937457,2,1.465,0.365,1.6749999999999998
Fe0.68La0.32,82.42435040000001,2,1.465,0.365,1.6749999999999998
Fe0.67La0.33,83.2549551,2,1.465,0.365,1.6749999999999998
Fe0.66La0.34,84.0855598,2,1.465,0.365,1.6749999999999998
Fe0.65La0.35,84.91616450000001,2,1.465,0.365,1.6749999999999998
Fe0.64La0.36,85.7467692,2,1.465,0.365,1.6749999999999998
Fe0.63La0.37,86.5773739,2,1.465,0.365,1.6749999999999998
Fe0.62La0.38,87.4079786,2,1.465,0.365,1.6749999999999998
Fe0.61La0.39,88.2385833,2,1.465,0.365,1.6749999999999998
Fe0.60La0.40,89.069188,2,1.465,0.365,1.6749999999999998
Fe0.59La0.41,89.8997927,2,1.465,0.365,1.6749999999999998
Fe0.58La0.42,90.7303974,2,1.465,0.365,1.6749999999999998
Fe0.57La0.43,91.5610021,2,1.465,0.365,1.6749999999999998
Fe0.56La0.44,92.3916068,2,1.465,0.365,1.6749999999999998
Fe0.55La0.45,93.22221150000001,2,1.465,0.365,1.6749999999999998
Fe0.54La0.46,94.05281620000001,2,1.465,0.365,1.6749999999999998
Fe0.53La0.47,94.8834209,2,1.465,0.365,1.6749999999999998
Fe0.52La0.48,95.7140256,2,1.465,0.365,1.6749999999999998
Fe0.51La0.49,96.5446303,2,1.465,0.365,1.6749999999999998
Fe0.50La0.50,97.375235,2,1.465,0.365,1.6749999999999998
Fe0.49La0.51,98.20583970000001,2,1.465,0.365,1.6749999999999998
Fe0.48La0.52,99.03644440000001,2,1.465,0.365,1.6749999999999998
Fe0.47La0.53,99.8670491,2,1.465,0.365,1.6749999999999998
Fe0.46La0.54,100.69765380000001,2,1.465,0.365,1.6749999999999998
Fe0.45La0.55,101.52825850000002,2,1.465,0.365,1.6749999999999998
Fe0.44La0.56,102.3588632,2,1.465,0.365,1.6749999999999998
Fe0.43La0.57,103.1894679,2,1.465,0.365,1.6749999999999998
